id,nombre,lat,lon,provincia,tipo
albaladejo-del-cuende,Albaladejo del Cuende,39.8068,-2.229,Cuenca,base
albalat,Albalat,39.7747,-5.7202,Cáceres,aldea
albalat-de-la-ribera,Albalat de la Ribera,39.2,-0.3833,Valencia,base
albalat-dels-sorells,Albalat dels Sorells,39.5436,-0.3456,Valencia,base
albalat-dels-tarongers,Albalat dels Tarongers,39.7,-0.3333,Valencia,base
albalate-de-cinca,Albalate de Cinca,41.7252,0.1524,Huesca,base
albalate-de-las-nogueras,Albalate de las Nogueras,40.3661,-2.2772,Cuenca,base
albalate-de-zorita,Albalate de Zorita,40.3081,-2.8427,Guadalajara,base
albalate-del-arzobispo,Albalate del Arzobispo,41.1217,-0.5114,Teruel,base
albalatillo,Albalatillo,41.7353,-0.1512,Huesca,base
alban,Albán,42.7524,-7.4448,Lugo,aldea
albanchez,Albanchez,37.2836,-2.1823,Almería,base
albanchez-de-magina,Albanchez de Mágina,37.7926,-3.4683,Jaén,aldea
albanya,Albanyà,42.3045,2.7214,Girona,municipio
albarca,Albarca,41.3008,0.9127,Tarragona,aldea
albaredo,Albaredo,42.9861,-7.1804,Lugo,aldea
albaredos,Albaredos,42.3967,-7.1769,Lugo,aldea
albarellos,Albarellos,43.0222,-9.0825,A Coruña,aldea
albares,Albares,40.3069,-3.009,Guadalajara,base
albariza,Albariza,42.7947,-8.8606,A Coruña,aldea
albarracin,Albarracín,40.4082,-1.4438,Teruel,base
albarreal-de-tajo,Albarreal de Tajo,39.897,-4.229,Toledo,base
albatana,Albatana,38.5706,-1.5221,Albacete,base
albatarrec,Albatàrrec,41.5672,0.6085,Lleida,municipio
albatera,Albatera,38.179,-0.8706,Alicante,base
albeiros,Albeiros,43.0333,-7.55,Lugo,aldea
albelda,Albelda,41.8654,0.46,Huesca,base
albelda-de-iregua,Albelda de Iregua,42.3584,-2.4728,La Rioja,base
albendea,Albendea,40.4875,-2.4175,Cuenca,base
albendiego,Albendiego,41.2274,-3.0517,Guadalajara,base
albendin,Albendín,37.6703,-4.2385,Córdoba,aldea
albentosa,Albentosa,40.1028,-0.7676,Teruel,base
albenzaire,Albenzaíre,37.1914,-3.8964,Granada,aldea
alberche-del-caudillo,Alberche del Caudillo,39.9106,-4.9299,Toledo,base
albergueria,Alberguería,42.123,-7.5523,Ourense,aldea
albergueria-de-herguijuela,Alberguería de Herguijuela,40.6019,-5.8708,Salamanca,aldea
alberic,Alberic,39.1167,-0.5167,Valencia,base
alberite,Alberite,42.407,-2.4389,La Rioja,base
alberite-de-san-juan,Alberite de San Juan,41.8201,-1.4706,Zaragoza,base
albero-alto,Albero Alto,42.0503,-0.3371,Huesca,base
albero-bajo,Albero Bajo,42.0238,-0.3802,Huesca,base
alberqueria,Alberquería,42.3,-7.0333,Ourense,aldea
alberuela-de-la-liena,Alberuela de la Liena,42.1631,-0.0316,Huesca,aldea
alberuela-de-tubo,Alberuela de Tubo,41.9085,-0.2142,Huesca,base
albesa,Albesa,41.7528,0.6594,Lleida,base
albeta,Albeta,41.8264,-1.4994,Zaragoza,base
albiasu,Albiasu,43.0083,-1.9358,Navarra,aldea
