indicativo,nombre,provincia,altitud_m,lat,lon,dist_costa_km,grupo_costa,franja_altitud,n_veranos,anio_ini,anio_fin,noches_posibles,nivel_partida,nivel_final,cambio_absoluto,pendiente_noches_anio,ic95_inf,ic95_sup,ic95_excluye_cero,r2,error_std,cerca_del_techo,posible_inhomogeneidad,salto_max_veranos,serie,fuente
6088X,TORREMOLINOS,MALAGA,85.0,36.6206,-4.515,1.8,litoral,<200,10,2017,2026,81,55.33,71.33,16.0,2.503,0.6547,4.3514,si,0.5493,0.8015,no,no,16.0,2017:61;2018:48;2019:57;2020:58;2021:48;2022:64;2023:71;2024:61;2025:77;2026:76,AEMET
6364X,ALBOX,ALMERIA,508.0,37.4067,-2.1514,36.6,interior,500-800,10,2017,2026,81,37.67,53.67,16.0,2.6909,0.5626,4.8192,si,0.5152,0.923,no,no,17.0,2017:43;2018:32;2019:38;2020:32;2021:28;2022:44;2023:54;2024:42;2025:59;2026:60,AEMET
B925,SANT ANTONI DE PORTMANY,BALEARES,32.0,38.9631,1.3214,3.3,litoral,<200,8,2019,2026,81,31.67,47.67,16.0,3.2738,0.6096,5.938,si,0.6011,1.0888,no,no,13.0,2019:38;2020:26;2021:31;2022:38;2023:51;2024:40;2025:45;2026:58,AEMET
3343Y,VALDEMORILLO,MADRID,884.0,40.4967,-4.0611,321.9,interior,800-1200,9,2017,2026,81,19.33,35.0,15.67,2.2365,0.4944,3.9786,si,0.5684,0.7366,no,no,16.0,2017:23;2018:12;2019:23;2020:22;2022:38;2023:22;2024:27;2025:37;2026:41,AEMET
4386B,LLERENA,BADAJOZ,655.0,38.2317,-6.0169,82.5,interior,500-800,10,2017,2026,81,19.67,35.33,15.67,1.8121,-0.9719,4.5961,no,0.2197,1.2073,no,no,26.0,2017:33;2018:12;2019:14;2020:34;2021:13;2022:39;2023:30;2024:31;2025:47;2026:28,AEMET
5000C,CEUTA,CEUTA,87.0,35.8886,-5.3469,0.6,litoral,<200,9,2017,2025,81,41.33,57.0,15.67,2.1167,-1.8621,6.0954,no,0.1844,1.6824,no,no,-35.0,2017:62;2018:27;2019:35;2020:51;2021:44;2022:58;2023:61;2024:43;2025:67,AEMET
5941X,EL BOSQUE,CADIZ,295.0,36.7294,-5.5122,45.4,interior,200-500,10,2017,2026,81,12.0,27.67,15.67,2.103,0.3764,3.8297,si,0.4965,0.7488,no,no,18.0,2017:21;2018:9;2019:6;2020:24;2021:12;2022:26;2023:28;2024:21;2025:30;2026:32,AEMET
5972X,SAN FERNANDO,CADIZ,28.0,36.4656,-6.2056,3.5,litoral,<200,10,2017,2026,81,42.0,57.67,15.67,2.1636,-0.5976,4.9248,no,0.2898,1.1974,no,no,-30.0,2017:60;2018:30;2019:36;2020:53;2021:49;2022:52;2023:62;2024:43;2025:64;2026:66,AEMET
6291B,EL EJIDO,ALMERIA,98.0,36.7747,-2.8131,7.9,litoral,<200,10,2017,2026,81,56.67,72.33,15.67,2.1758,0.3771,3.9745,si,0.4931,0.78,no,si,-16.0,2017:67;2018:51;2019:52;2020:58;2021:57;2022:59;2023:66;2024:62;2025:76;2026:79,AEMET
B158X,"CALVIÀ, ES CAPDELLÀ",BALEARES,50.0,39.5514,2.4664,2.4,litoral,<200,9,2018,2026,81,17.33,33.0,15.67,2.7167,1.3972,4.0362,si,0.7721,0.5579,no,no,7.0,2018:18;2019:20;2020:14;2021:16;2022:23;2023:28;2024:26;2025:33;2026:40,AEMET
C229J,PÁJARA,LAS PALMAS,15.0,28.0492,-14.3581,0.8,litoral,<200,9,2017,2026,81,57.33,73.0,15.67,1.7708,-0.6222,4.1639,no,0.3044,1.0119,no,no,-20.0,2017:65;2018:48;2019:59;2020:77;2021:57;2022:73;2024:76;2025:76;2026:67,AEMET
C419X,ADEJE,SANTA CRUZ DE TENERIFE,130.0,28.0814,-16.7106,1.9,litoral,<200,9,2017,2025,81,30.33,46.0,15.67,1.7,-2.019,5.419,no,0.1431,1.5725,no,no,28.0,2017:44;2018:20;2019:27;2020:37;2021:23;2022:32;2023:60;2024:35;2025:43,AEMET
C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",LAS PALMAS,318.0,27.9089,-15.77,5.0,litoral,200-500,10,2017,2026,81,20.67,36.33,15.67,2.2182,0.0333,4.403,si,0.4066,0.9475,no,no,-18.0,2017:31;2018:13;2019:18;2020:36;2021:21;2022:30;2023:46;2024:30;2025:37;2026:42,AEMET
