indicativo,mes,tm_mes,tm_max,tm_min,ta_max,ta_min,p_mes,p_max,hr,n_llu,n_nie,n_tor
B825B,07,,,,,,,,,,,
B825B,08,,,,,,,,,,,
B825B,09,,,,,,,,,,,
B825B,10,,,,,,,,,,,
B825B,11,,,,,,,,,,,
B825B,12,,,,,,,,,,,
B825B,13,,,,,,,,,,,
B860X,01,,,,,,,,,,,
B860X,02,,,,,,,,,,,
B860X,03,,,,,,,,,,,
B860X,04,,,,,,,,,,,
B860X,05,,,,,,,,,,,
B860X,06,,,,,,,,,,,
B860X,07,,,,,,,,,,,
B860X,08,,,,,,,,,,,
B860X,09,,,,,,,,,,,
B860X,10,,,,,,,,,,,
B860X,11,,,,,,,,,,,
B860X,12,,,,,,,,,,,
B860X,13,,,,,,,,,,,
B870C,01,,,,,,,,,,,
B870C,02,,,,,,,,,,,
B870C,03,,,,,,,,,,,
B870C,04,,,,,,,,,,,
B870C,05,,,,,,,,,,,
B870C,06,,,,,,,,,,,
B870C,07,,,,,,,,,,,
B870C,08,,,,,,,,,,,
B870C,09,,,,,,,,,,,
B870C,10,,,,,,,,,,,
B870C,11,,,,,,,,,,,
B870C,12,,,,,,,,,,,
B870C,13,,,,,,,,,,,
B893,01,,,,,,,,,,,
B893,02,,,,,,,,,,,
B893,03,,,,,,,,,,,
B893,04,,,,,,,,,,,
B893,05,,,,,,,,,,,
B893,06,,,,,,,,,,,
B893,07,,,,,,,,,,,
B893,08,,,,,,,,,,,
B893,09,,,,,,,,,,,
B893,10,,,,,,,,,,,
B893,11,,,,,,,,,,,
B893,12,,,,,,,,,,,
B893,13,,,,,,,,,,,
B908X,01,,,,,,,,,,,
B908X,02,,,,,,,,,,,
B908X,03,,,,,,,,,,,
B908X,04,,,,,,,,,,,
B908X,05,,,,,,,,,,,
B908X,06,,,,,,,,,,,
B908X,07,,,,,,,,,,,
B908X,08,,,,,,,,,,,
B908X,09,,,,,,,,,,,
B908X,10,,,,,,,,,,,
B908X,11,,,,,,,,,,,
B908X,12,,,,,,,,,,,
B908X,13,,,,,,,,,,,
B925,01,,,,,,,,,,,
B925,02,,,,,,,,,,,
B925,03,,,,,,,,,,,
B925,04,,,,,,,,,,,
B925,05,,,,,,,,,,,
B925,06,,,,,,,,,,,
B925,07,,,,,,,,,,,
B925,08,,,,,,,,,,,
B925,09,,,,,,,,,,,
B925,10,,,,,,,,,,,
B925,11,,,,,,,,,,,
B925,12,,,,,,,,,,,
B925,13,,,,,,,,,,,
B954,01,,,,,,,,,,,
B954,02,,,,,,,,,,,
B954,03,,,,,,,,,,,
B954,04,,,,,,,,,,,
B954,05,,,,,,,,,,,
B954,06,,,,,,,,,,,
B954,07,,,,,,,,,,,
B954,08,,,,,,,,,,,
B954,09,,,,,,,,,,,
B954,10,,,,,,,,,,,
B954,11,,,,,,,,,,,
B954,12,,,,,,,,,,,
B954,13,,,,,,,,,,,
B957,01,,,,,,,,,,,
B957,02,,,,,,,,,,,
B957,03,,,,,,,,,,,
B957,04,,,,,,,,,,,
B957,05,,,,,,,,,,,
B957,06,,,,,,,,,,,
B957,07,,,,,,,,,,,
B957,08,,,,,,,,,,,
B957,09,,,,,,,,,,,
B957,10,,,,,,,,,,,
B957,11,,,,,,,,,,,
B957,12,,,,,,,,,,,
B957,13,,,,,,,,,,,
B986,01,,,,,,,,,,,
B986,02,,,,,,,,,,,
B986,03,,,,,,,,,,,
B986,04,,,,,,,,,,,
B986,05,,,,,,,,,,,
B986,06,,,,,,,,,,,
B986,07,,,,,,,,,,,
B986,08,,,,,,,,,,,
B986,09,,,,,,,,,,,
B986,10,,,,,,,,,,,
B986,11,,,,,,,,,,,
B986,12,,,,,,,,,,,
B986,13,,,,,,,,,,,
C018J,01,,,,,,,,,,,
C018J,02,,,,,,,,,,,
C018J,03,,,,,,,,,,,
C018J,04,,,,,,,,,,,
C018J,05,,,,,,,,,,,
C018J,06,,,,,,,,,,,
C018J,07,,,,,,,,,,,
C018J,08,,,,,,,,,,,
C018J,09,,,,,,,,,,,
C018J,10,,,,,,,,,,,
C018J,11,,,,,,,,,,,
C018J,12,,,,,,,,,,,
C018J,13,,,,,,,,,,,
C019V,01,,,,,,,,,,,
C019V,02,,,,,,,,,,,
C019V,03,,,,,,,,,,,
C019V,04,,,,,,,,,,,
C019V,05,,,,,,,,,,,
C019V,06,,,,,,,,,,,
C019V,07,,,,,,,,,,,
C019V,08,,,,,,,,,,,
C019V,09,,,,,,,,,,,
C019V,10,,,,,,,,,,,
C019V,11,,,,,,,,,,,
C019V,12,,,,,,,,,,,
C019V,13,,,,,,,,,,,
C029O,01,,,,,,,,,,,
C029O,02,,,,,,,,,,,
C029O,03,,,,,,,,,,,
C029O,04,,,,,,,,,,,
C029O,05,,,,,,,,,,,
C029O,06,,,,,,,,,,,
C029O,07,,,,,,,,,,,
C029O,08,,,,,,,,,,,
C029O,09,,,,,,,,,,,
C029O,10,,,,,,,,,,,
C029O,11,,,,,,,,,,,
C029O,12,,,,,,,,,,,
C029O,13,,,,,,,,,,,
C038N,01,,,,,,,,,,,
C038N,02,,,,,,,,,,,
C038N,03,,,,,,,,,,,
C038N,04,,,,,,,,,,,
C038N,05,,,,,,,,,,,
C038N,06,,,,,,,,,,,
C038N,07,,,,,,,,,,,
C038N,08,,,,,,,,,,,
C038N,09,,,,,,,,,,,
C038N,10,,,,,,,,,,,
C038N,11,,,,,,,,,,,
C038N,12,,,,,,,,,,,
C038N,13,,,,,,,,,,,
C048W,01,,,,,,,,,,,
C048W,02,,,,,,,,,,,
C048W,03,,,,,,,,,,,
C048W,04,,,,,,,,,,,
C048W,05,,,,,,,,,,,
C048W,06,,,,,,,,,,,
C048W,07,,,,,,,,,,,
C048W,08,,,,,,,,,,,
C048W,09,,,,,,,,,,,
C048W,10,,,,,,,,,,,
C048W,11,,,,,,,,,,,
C048W,12,,,,,,,,,,,
C048W,13,,,,,,,,,,,
C101A,01,,,,,,,,,,,
C101A,02,,,,,,,,,,,
C101A,03,,,,,,,,,,,
C101A,04,,,,,,,,,,,
C101A,05,,,,,,,,,,,
C101A,06,,,,,,,,,,,
C101A,07,,,,,,,,,,,
C101A,08,,,,,,,,,,,
C101A,09,,,,,,,,,,,
C101A,10,,,,,,,,,,,
C101A,11,,,,,,,,,,,
C101A,12,,,,,,,,,,,
C101A,13,,,,,,,,,,,
C117A,01,,,,,,,,,,,
C117A,02,,,,,,,,,,,
C117A,03,,,,,,,,,,,
C117A,04,,,,,,,,,,,
C117A,05,,,,,,,,,,,
C117A,06,,,,,,,,,,,
C117A,07,,,,,,,,,,,
C117A,08,,,,,,,,,,,
C117A,09,,,,,,,,,,,
C117A,10,,,,,,,,,,,
C117A,11,,,,,,,,,,,
C117A,12,,,,,,,,,,,
C117A,13,,,,,,,,,,,
C117Z,01,,,,,,,,,,,
C117Z,02,,,,,,,,,,,
C117Z,03,,,,,,,,,,,
C117Z,04,,,,,,,,,,,
C117Z,05,,,,,,,,,,,
C117Z,06,,,,,,,,,,,
C117Z,07,,,,,,,,,,,
C117Z,08,,,,,,,,,,,
C117Z,09,,,,,,,,,,,
C117Z,10,,,,,,,,,,,
C117Z,11,,,,,,,,,,,
C117Z,12,,,,,,,,,,,
C117Z,13,,,,,,,,,,,
C126A,01,,,,,,,,,,,
C126A,02,,,,,,,,,,,
C126A,03,,,,,,,,,,,
C126A,04,,,,,,,,,,,
C126A,05,,,,,,,,,,,
C126A,06,,,,,,,,,,,
C126A,07,,,,,,,,,,,
C126A,08,,,,,,,,,,,
C126A,09,,,,,,,,,,,
C126A,10,,,,,,,,,,,
C126A,11,,,,,,,,,,,
C126A,12,,,,,,,,,,,
C126A,13,,,,,,,,,,,
C129V,01,,,,,,,,,,,
C129V,02,,,,,,,,,,,
C129V,03,,,,,,,,,,,
C129V,04,,,,,,,,,,,
C129V,05,,,,,,,,,,,
C129V,06,,,,,,,,,,,
C129V,07,,,,,,,,,,,
C129V,08,,,,,,,,,,,
C129V,09,,,,,,,,,,,
C129V,10,,,,,,,,,,,
C129V,11,,,,,,,,,,,
C129V,12,,,,,,,,,,,
C129V,13,,,,,,,,,,,
C129Z,01,,,,,,,,,,,
C129Z,02,,,,,,,,,,,
C129Z,03,,,,,,,,,,,
C129Z,04,,,,,,,,,,,
C129Z,05,,,,,,,,,,,
C129Z,06,,,,,,,,,,,
C129Z,07,,,,,,,,,,,
C129Z,08,,,,,,,,,,,
C129Z,09,,,,,,,,,,,
C129Z,10,,,,,,,,,,,
C129Z,11,,,,,,,,,,,
C129Z,12,,,,,,,,,,,
C129Z,13,,,,,,,,,,,
C139E,01,,,,,,,,,,,
C139E,02,,,,,,,,,,,
C139E,03,,,,,,,,,,,
C139E,04,,,,,,,,,,,
C139E,05,,,,,,,,,,,
C139E,06,,,,,,,,,,,
C139E,07,,,,,,,,,,,
C139E,08,,,,,,,,,,,
C139E,09,,,,,,,,,,,
C139E,10,,,,,,,,,,,
C139E,11,,,,,,,,,,,
C139E,12,,,,,,,,,,,
C139E,13,,,,,,,,,,,
C148F,01,,,,,,,,,,,
C148F,02,,,,,,,,,,,
C148F,03,,,,,,,,,,,
C148F,04,,,,,,,,,,,
C148F,05,,,,,,,,,,,
C148F,06,,,,,,,,,,,
C148F,07,,,,,,,,,,,
C148F,08,,,,,,,,,,,
C148F,09,,,,,,,,,,,
C148F,10,,,,,,,,,,,
C148F,11,,,,,,,,,,,
C148F,12,,,,,,,,,,,
C148F,13,,,,,,,,,,,
C229J,01,,,,,,,,,,,
C229J,02,,,,,,,,,,,
C229J,03,,,,,,,,,,,
C229J,04,,,,,,,,,,,
C229J,05,,,,,,,,,,,
C229J,06,,,,,,,,,,,
C229J,07,,,,,,,,,,,
C229J,08,,,,,,,,,,,
C229J,09,,,,,,,,,,,
C229J,10,,,,,,,,,,,
C229J,11,,,,,,,,,,,
C229J,12,,,,,,,,,,,
C229J,13,,,,,,,,,,,
C239N,01,,,,,,,,,,,
C239N,02,,,,,,,,,,,
C239N,03,,,,,,,,,,,
C239N,04,,,,,,,,,,,
C239N,05,,,,,,,,,,,
C239N,06,,,,,,,,,,,
C239N,07,,,,,,,,,,,
C239N,08,,,,,,,,,,,
C239N,09,,,,,,,,,,,
C239N,10,,,,,,,,,,,
C239N,11,,,,,,,,,,,
C239N,12,,,,,,,,,,,
C239N,13,,,,,,,,,,,
C248E,01,,,,,,,,,,,
C248E,02,,,,,,,,,,,
C248E,03,,,,,,,,,,,
C248E,04,,,,,,,,,,,
C248E,05,,,,,,,,,,,
C248E,06,,,,,,,,,,,
C248E,07,,,,,,,,,,,
C248E,08,,,,,,,,,,,
C248E,09,,,,,,,,,,,
C248E,10,,,,,,,,,,,
C248E,11,,,,,,,,,,,
C248E,12,,,,,,,,,,,
C248E,13,,,,,,,,,,,
C249I,01,,,,,,,,,,,
C249I,02,,,,,,,,,,,
C249I,03,,,,,,,,,,,
