rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmax_media_verano,tmax_normal_verano,tmax_anomalia,tmax_tendencia,tmax_esperada,residual,score_refugio
165,C438N,CANDELARIA,STA. CRUZ DE TENERIFE,463,28.359,-16.402,9.000,26.458,,,0.105,28.794,-2.337,-1.527
166,1025A,SEGURA,GIPUZKOA,255,43.016,-2.257,9.000,26.857,,,0.106,29.231,-2.374,-1.526
167,1026X,ORDIZIA,GIPUZKOA,290,43.058,-2.184,9.000,25.490,,,0.147,29.182,-3.692,-1.521
168,0413A,MAÇANET DE CABRENYS,GIRONA,355,42.387,2.756,9.000,30.003,,,0.087,31.661,-1.659,-1.501
169,9001S,ALTO CAMPOO,CANTABRIA,1650,43.037,-4.374,9.000,18.766,,,0.248,25.679,-6.913,-1.493
170,B410B,SANTANYÍ,BALEARES,45,39.340,3.146,9.000,29.615,,,0.164,33.769,-4.154,-1.492
171,0042Y,TARRAGONA ,TARRAGONA,55,41.124,1.249,9.000,29.254,,,0.124,32.073,-2.819,-1.485
172,9198X,CANFRANC,HUESCA,1197,42.749,-0.516,9.000,25.501,,,0.128,28.433,-2.933,-1.482
173,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,A CORUÑA,370,42.888,-8.411,9.000,24.254,,,0.099,26.212,-1.958,-1.479
174,0284X,CASTELL D'ARO,GIRONA,14,41.808,3.031,9.000,28.405,,,0.170,32.673,-4.268,-1.469
175,0158O,MONTSERRAT,BARCELONA,738,41.594,1.839,9.000,26.017,,,0.189,30.886,-4.869,-1.464
176,9744B,VALL DE BOÍ,LLEIDA,1089,42.503,0.799,9.000,27.596,,,0.094,29.353,-1.758,-1.461
177,B569X,CAPDEPERA,BALEARES,57,39.717,3.478,9.000,29.579,,,0.169,33.734,-4.155,-1.444
178,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,28.952,-13.600,9.000,29.316,,,0.084,30.658,-1.342,-1.435
179,C129V,FUENCALIENTE,STA. CRUZ DE TENERIFE,19,28.455,-17.841,9.000,26.467,,,0.118,28.895,-2.428,-1.435
180,B087X,BANYALBUFAR,ILLES BALEARS,60,39.689,2.513,9.000,28.946,,,0.180,33.291,-4.345,-1.400
181,0370E,GIRONA,GIRONA,76,41.972,2.819,9.000,32.206,,,0.053,32.387,-0.181,-1.398
182,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,28.032,-17.211,9.000,26.876,,,0.113,29.011,-2.135,-1.390
183,1518A,LUGO,LUGO,442,42.998,-7.553,9.000,26.068,,,0.061,26.430,-0.362,-1.375
184,1152C,SAN FELICES DE BUELNA,CANTABRIA,105,43.272,-4.049,9.000,24.748,,,0.167,28.558,-3.809,-1.370
185,1083L,CASTRO URDIALES,CANTABRIA,45,43.395,-3.234,9.000,23.376,,,0.222,28.992,-5.616,-1.367
186,9445L,"FORMIGAL, SARRIOS",HUESCA,1800,42.763,-0.393,5.000,20.039,,,0.275,27.380,-7.341,-1.367
187,1050J,ELGOIBAR,GIPUZKOA,119,43.209,-2.413,9.000,24.178,,,0.209,29.321,-5.143,-1.352
188,C449C,STA.CRUZ DE TENERIFE,SANTA CRUZ DE TENERIFE,36,28.463,-16.255,9.000,28.734,,,0.079,29.599,-0.865,-1.350
189,1249X,OVIEDO,ASTURIAS,334,43.353,-5.874,9.000,23.164,,,0.177,27.252,-4.087,-1.348
190,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,27.918,-15.395,9.000,27.420,,,0.140,30.264,-2.844,-1.346
191,9838B,BENASQUE,HUESCA,1120,42.599,0.521,9.000,27.706,,,0.097,29.124,-1.418,-1.339
192,8486X,MOSQUERUELA,TERUEL,1515,40.363,-0.454,9.000,24.997,,,0.174,28.943,-3.946,-1.336
193,6106X,ANTEQUERA,MALAGA,408,37.029,-4.748,9.000,32.913,,,-0.019,30.458,2.455,-1.312
194,8520X,LA POBLA DE BENIFASSÀ-FREDES,CASTELLON,1165,40.694,0.165,9.000,24.293,,,0.223,29.725,-5.432,-1.307
195,B986,FORMENTERA,BALEARES,24,38.694,1.464,9.000,31.118,,,0.124,33.312,-2.194,-1.301
196,9657X,ESTERRI D'ÀNEU,LLEIDA,952,42.625,1.126,9.000,28.416,,,0.097,29.703,-1.286,-1.298
