rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmin_media_verano,noches_trop_anio,noches_ecua_anio,tmin_tendencia,tmin_esperada,residual,score_refugio_noche
92,1174I,"CILLORIGO DE LIÉBANA, TAMA",CANTABRIA,250.000,43.183,-4.602,10.000,14.489,0.500,0.000,0.090,15.179,-0.690,-2.363
93,2005Y,"VINUESA, QUINTANAREJO",SORIA,1197.000,41.968,-2.783,10.000,10.329,0.000,0.000,0.161,12.513,-2.184,-2.354
94,2302N,MONTERRUBIO DE LA DEMANDA,BURGOS,1197.000,42.146,-3.110,10.000,10.250,0.100,0.000,0.154,12.278,-2.028,-2.350
95,1738U,MUIÑOS,OURENSE,730.000,41.934,-7.989,10.000,12.176,0.000,0.000,0.083,12.640,-0.464,-2.332
96,C038N,HARÍA,LAS PALMAS,277.000,29.144,-13.489,10.000,18.762,15.000,0.900,0.104,20.727,-1.965,-2.325
97,7119B,CARAVACA DE LA CRUZ,MURCIA,643.000,38.103,-1.877,10.000,16.336,5.500,0.000,0.109,17.715,-1.379,-2.319
98,2847X,PEDROSILLO DE LOS AIRES   ,SALAMANCA,865.000,40.676,-5.643,10.000,11.457,0.100,0.000,0.168,13.722,-2.264,-2.314
99,9638D,COLL DE NARGÓ,LLEIDA,609.000,42.154,1.312,10.000,14.912,0.900,0.000,0.133,16.459,-1.546,-2.293
100,9647X,TORÀ,LLEIDA,435.000,41.806,1.396,10.000,14.941,1.800,0.000,0.176,17.467,-2.526,-2.285
101,1083B,SOPUERTA,BIZKAIA,177.000,43.280,-3.169,10.000,14.738,0.800,0.000,0.120,15.963,-1.225,-2.271
102,C917E,"EL PINAR, LA DEHESA",STA. CRUZ DE TENERIFE,713.000,27.725,-18.115,9.000,17.276,19.111,7.889,0.040,18.030,-0.754,-2.262
103,2701D,"BARRIOS DE LUNA, MIÑERA",LEON,1120.000,42.886,-5.871,10.000,9.904,0.000,0.000,0.124,11.122,-1.218,-2.257
104,2882D,PEÑAUSENDE,ZAMORA,1003.000,41.239,-5.897,10.000,14.080,5.900,0.400,-0.017,12.669,1.410,-2.256
105,8381X,ADEMUZ,VALENCIA,705.000,40.061,-1.284,10.000,13.700,1.400,0.000,0.189,16.418,-2.718,-2.249
106,0341X,TONA,BARCELONA,607.000,41.847,2.223,8.000,15.556,1.250,0.000,0.131,16.999,-1.444,-2.245
107,C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",LAS PALMAS,269.000,28.078,-15.453,10.000,18.838,16.500,0.000,0.104,20.716,-1.878,-2.216
108,2235U,CERVERA DE PISUERGA,PALENCIA,1140.000,42.871,-4.520,10.000,10.481,0.000,0.000,0.121,11.543,-1.062,-2.194
109,5654X,LA PUEBLA DE LOS INFANTES,SEVILLA,200.000,37.787,-5.371,10.000,15.750,6.600,0.000,0.180,18.551,-2.801,-2.193
110,1393,CABO VILÁN,A CORUÑA,50.000,43.161,-9.211,10.000,15.195,0.000,0.000,0.034,14.360,0.835,-2.188
111,2017Y,"LA PÓVEDA DE SORIA, BARRIOMARTÍN",SORIA,1260.000,41.996,-2.494,10.000,10.540,0.000,0.000,0.155,12.328,-1.788,-2.187
112,B908X,SANT JOAN DE LABRITJA,ILLES BALEARS,110.000,39.056,1.493,10.000,18.327,24.000,0.400,0.105,20.667,-2.340,-2.166
113,9051,MEDINA DE POMAR,BURGOS,580.000,42.920,-3.483,10.000,12.634,0.300,0.000,0.152,14.326,-1.692,-2.165
114,1135C,"LOS TOJOS, BÁRCENA MAYOR",CANTABRIA,460.000,43.147,-4.214,10.000,12.020,0.000,0.000,0.186,14.433,-2.413,-2.161
115,2630X,PUERTO DE SAN ISIDRO,LEON,1510.000,43.062,-5.377,8.000,7.507,0.000,0.000,0.167,9.498,-1.991,-2.160
116,2885K,FRESNO DE SAYAGO,ZAMORA,804.000,41.304,-6.022,10.000,11.927,0.000,0.000,0.145,13.446,-1.519,-2.159
117,1723X,"PONTEAREAS, CANEDO",PONTEVEDRA,90.000,42.182,-8.493,10.000,13.940,0.500,0.000,0.126,15.075,-1.134,-2.158
118,1344X,MONDOÑEDO,LUGO,125.000,43.431,-7.362,9.000,14.615,0.000,0.000,0.072,14.544,0.071,-2.147
119,C658L,LAS PALMAS DE G.C. (TAFIRA CMT),LAS PALMAS,269.000,28.075,-15.451,10.000,19.033,19.600,0.000,0.091,20.719,-1.686,-2.132
120,1735X,XINZO DE LIMIA,OURENSE,616.000,42.079,-7.734,10.000,10.026,0.000,0.000,0.222,13.137,-3.110,-2.122
121,2863C,PEDRAZA DE ALBA  ,SALAMANCA,897.000,40.732,-5.366,10.000,11.906,0.900,0.000,0.155,13.649,-1.742,-2.120
122,C328W,HERMIGUA,STA. CRUZ DE TENERIFE,252.000,28.164,-17.194,10.000,18.938,21.800,0.000,0.061,20.093,-1.154,-2.115
123,0341,TONA (ESCOLA),BARCELONA,607.000,41.847,2.223,9.000,15.289,0.667,0.000,0.156,16.999,-1.710,-2.105
124,9988B,CAP DE VAQUÈIRA,LLEIDA,2467.000,42.692,0.974,7.000,8.179,0.000,0.000,0.067,7.923,0.255,-2.099
125,9995Y,VALCARLOS/LUZAIDE,NAVARRA,334.000,43.091,-1.301,10.000,14.863,1.000,0.000,0.134,16.091,-1.228,-2.089
126,2331,BURGOS AEROPUERTO,BURGOS,891.000,42.357,-3.620,10.000,11.734,0.200,0.000,0.151,13.284,-1.550,-2.087
127,9689X,TORRE DE CABDELLA,LLEIDA,1273.000,42.466,0.991,10.000,12.577,0.000,0.000,0.112,13.258,-0.681,-2.084
128,C126A,EL PASO,SANTA CRUZ DE TENERIFE,844.000,28.654,-17.853,10.000,16.167,19.800,5.600,0.053,16.966,-0.799,-2.082
129,0324A,RIPOLL,GIRONA,675.000,42.191,2.196,9.000,14.526,0.000,0.000,0.172,16.475,-1.949,-2.067
130,5402,CÓRDOBA AEROPUERTO,CORDOBA,90.000,37.849,-4.847,10.000,18.936,31.700,0.300,-0.009,19.182,-0.246,-2.055
131,1178Y,"POSADA DE VALDEÓN, SOTO ",LEON,953.000,43.145,-4.932,10.000,10.599,0.000,0.000,0.149,12.028,-1.430,-2.055
132,9460X,SABIÑÁNIGO,HUESCA,775.000,42.513,-0.356,10.000,13.430,0.400,0.000,0.150,14.894,-1.464,-2.047
133,1410X,SOBRADO,A CORUÑA,500.000,43.038,-8.022,10.000,11.502,0.000,0.000,0.149,12.923,-1.421,-2.044
134,1399,VIMIANZO,A CORUÑA,287.000,43.057,-9.047,10.000,13.471,0.300,0.000,0.084,13.457,0.014,-2.014
135,2044B,LUBIA,SORIA,1100.000,41.601,-2.507,10.000,11.724,0.000,0.000,0.157,13.269,-1.545,-2.014
136,2777K,SANTIBAÑEZ DE VIDRIALES,ZAMORA,737.000,42.078,-6.007,10.000,11.800,0.300,0.000,0.153,13.249,-1.449,-1.997
137,1089U,RAMALES DE LA VICTORIA,CANTABRIA,80.000,43.256,-3.471,10.000,14.726,1.300,0.000,0.155,16.288,-1.562,-1.996
138,9257X,"ESTERIBAR, EMBALSE DE EUGI",NAVARRA,615.000,42.971,-1.517,10.000,13.024,0.000,0.000,0.173,14.868,-1.844,-1.988
139,6042I,JIMENA DE LA FRONTERA,CADIZ,42.000,36.436,-5.395,10.000,16.660,12.000,0.000,0.208,20.089,-3.429,-1.982
140,9060X,LALASTRA,ARABA/ALAVA,910.000,42.875,-3.232,10.000,10.894,0.000,0.000,0.187,13.015,-2.120,-1.971
