indicativo,nombre,provincia,altitud_m,anios,noches_trop_peor_anio,peor_anio,noches_trop_mejor_anio,noches_trop_ultimo_anio,noches_trop_anio_medio,racha_max_historica,racha_max_en_un_anio,noches_ecua_peor_anio,tmin_p95,peor_noche,peor_noche_fecha,noche_mas_fria,noches_fuera_jja_anio
3519X,PLASENCIA,CACERES,415.0,9,69,2025,30,69,51.0,25,25,16,24.4,28.7,2022-07-15,-3.4,6.3
8050X,JÁVEA/ XÀBIA,ALICANTE,15.0,9,71,2025,48,71,60.7,32,32,4,23.7,26.5,2017-08-02,-1.6,10.4
C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",LAS PALMAS,269.0,9,72,2023,10,37,27.9,19,19,2,21.6,26.6,2023-10-09,9.6,13.3
5427X,DOÑA MENCÍA,CORDOBA,650.0,9,72,2023,32,57,53.3,31,31,11,24.3,30.2,2021-08-14,-4.2,9.1
6100B,ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES),MALAGA,515.0,6,72,2022,27,72,55.5,31,31,7,23.9,26.7,2018-08-02,-1.2,6.3
0200E,"BARCELONA, FABRA",BARCELONA,408.0,9,73,2022,40,62,54.3,40,40,9,23.2,29.4,2023-08-23,-2.4,5.7
0252D,ARENYS DE MAR,BARCELONA,74.0,7,73,2022,41,43,50.4,51,29,2,22.6,26.2,2023-08-23,-1.4,4.0
8446Y,SAGUNT/SAGUNTO,VALENCIA,24.0,9,74,2025,36,74,54.2,34,34,7,23.3,26.3,2022-07-26,-2.6,6.4
6045X,ALPANDEIRE,MALAGA,676.0,9,74,2025,27,74,51.2,29,29,7,23.6,29.8,2022-07-25,-0.4,5.1
0073X,SITGES,BARCELONA,58.0,9,74,2025,45,74,56.7,59,35,2,22.8,26.1,2023-09-04,-1.8,6.3
0429X,FIGUERES,GIRONA,45.0,9,74,2022,46,59,54.9,29,29,6,23.4,27.0,2018-08-01,-2.3,3.9
5612X,LORA DE ESTEPA,SEVILLA,450.0,9,75,2025,33,75,54.6,27,27,15,24.5,30.3,2021-08-14,-2.4,8.2
6364X,ALBOX,ALMERIA,508.0,9,75,2025,41,75,52.4,32,32,3,22.6,27.1,2025-08-18,-2.7,5.6
B760X,POLLENÇA,BALEARES,45.0,9,75,2022,36,63,53.3,70,22,6,23.3,27.9,2022-08-14,-0.6,6.8
5950X,SAN JOSÉ DEL VALLE,CADIZ,105.0,9,76,2017,40,68,56.3,32,32,15,24.4,29.0,2023-08-23,0.9,14.3
7209,LORCA,MURCIA,312.0,9,76,2025,32,76,50.4,33,33,1,22.8,25.2,2019-07-07,-3.4,5.6
C658L,LAS PALMAS DE G.C. (TAFIRA CMT),LAS PALMAS,269.0,9,76,2023,13,39,35.2,25,15,3,22.0,29.4,2023-10-09,9.4,17.8
0042Y,TARRAGONA,TARRAGONA,55.0,9,77,2022,55,76,67.1,39,36,6,24.0,27.2,2018-08-08,-2.8,9.1
C439J,GÜÍMAR,SANTA CRUZ DE TENERIFE,115.0,9,77,2023,24,49,47.6,16,16,0,22.6,25.0,2021-08-17,9.7,18.6
