indicativo,temporada,nombre,provincia,altitud,dias_tmin,dias_tmax,noches_calefaccion,noches_frias,heladas,heladas_fuertes,calefaccion_nucleo,heladas_nucleo,dias_terraza,dias_terraza_20,dias_lluvia,racha_terraza,racha_sin_terraza,racha_heladas,tmin_p05,tmin_min,tmin_min_fecha,tmax_max,tmax_max_fecha
0076,2025-26,BARCELONA AEROPUERTO,BARCELONA,4,149,149,108,13,0,0,71,0,29,16,31,17,55,0,4.3,0.5,2026-01-07,24.6,2025-11-02
0092X,2017-18,BERGA,BARCELONA,682,147,147,147,137,54,9,86,44,6,0,24,2,79,11,-3.5,-5.7,2018-02-09,19.9,2018-03-28
0092X,2018-19,BERGA,BARCELONA,682,151,151,149,125,31,5,90,30,20,8,15,4,99,4,-2.3,-5.5,2019-01-11,22.7,2019-03-16
0092X,2019-20,BERGA,BARCELONA,682,152,152,152,111,24,0,91,12,8,4,24,3,92,6,-1.4,-3.0,2019-11-17,23.8,2020-03-12
0092X,2020-21,BERGA,BARCELONA,682,151,151,148,105,37,12,90,35,9,6,28,4,141,11,-3.3,-5.6,2021-01-08,23.3,2020-11-02
0092X,2021-22,BERGA,BARCELONA,682,151,151,151,121,36,2,90,32,4,1,21,2,60,17,-2.4,-3.3,2022-01-06,21.0,2022-02-18
0092X,2022-23,BERGA,BARCELONA,682,151,151,149,105,42,10,90,35,35,16,15,12,92,18,-3.4,-5.3,2023-01-30,24.7,2023-03-29
0092X,2023-24,BERGA,BARCELONA,682,151,151,149,104,20,1,90,17,25,15,24,11,65,4,-1.1,-3.7,2024-01-09,24.7,2024-03-22
0092X,2024-25,BERGA,BARCELONA,682,151,151,146,106,26,2,90,25,9,2,31,6,120,4,-1.2,-4.4,2025-01-14,24.0,2025-03-31
0092X,2025-26,BERGA,BARCELONA,682,151,151,150,109,24,3,90,18,13,2,43,5,100,4,-1.6,-6.6,2026-01-07,20.3,2026-02-24
0106X,2017-18,BALSARENY,BARCELONA,361,146,146,146,136,94,34,89,65,14,4,19,5,40,15,-6.2,-8.0,2017-12-04,22.2,2018-03-10
0106X,2018-19,BALSARENY,BARCELONA,361,151,151,151,137,83,26,90,68,36,16,15,11,93,20,-5.5,-7.5,2019-01-11,25.1,2019-03-16
0106X,2019-20,BALSARENY,BARCELONA,361,152,152,150,118,51,13,91,33,23,7,18,5,48,9,-3.7,-5.5,2020-01-13,24.9,2020-03-12
0106X,2020-21,BALSARENY,BARCELONA,361,151,151,149,126,60,16,90,45,35,11,20,5,71,12,-4.8,-9.5,2021-01-06,25.9,2020-11-02
0106X,2021-22,BALSARENY,BARCELONA,361,151,151,149,128,75,33,90,60,15,4,19,3,47,25,-6.7,-8.5,2022-01-16,23.5,2022-02-18
0106X,2022-23,BALSARENY,BARCELONA,361,151,151,149,123,66,30,90,53,52,35,16,24,47,20,-6.2,-8.4,2023-01-23,26.0,2023-03-30
0106X,2023-24,BALSARENY,BARCELONA,361,152,152,151,114,56,19,91,45,40,24,18,12,32,11,-4.1,-6.9,2024-01-09,27.1,2024-03-22
0106X,2024-25,BALSARENY,BARCELONA,361,151,151,144,109,53,19,90,49,16,6,29,8,57,10,-4.2,-8.6,2025-01-14,25.8,2025-03-31
0106X,2025-26,BALSARENY,BARCELONA,361,146,146,142,109,48,6,89,33,23,12,36,6,98,14,-2.6,-7.5,2026-01-07,22.5,2026-02-24
0114X,2017-18,PRATS DE LLUÇANÈS,BARCELONA,700,151,151,151,143,97,40,90,67,4,0,25,1,108,15,-6.3,-10.1,2018-02-27,19.4,2018-03-10
0114X,2018-19,PRATS DE LLUÇANÈS,BARCELONA,700,150,150,148,136,58,13,89,50,18,7,17,6,101,16,-3.4,-7.5,2019-01-11,22.7,2019-02-27
0114X,2019-20,PRATS DE LLUÇANÈS,BARCELONA,700,152,152,151,129,38,5,91,20,11,5,22,3,91,8,-2.2,-4.0,2020-01-12,23.9,2020-03-12
0114X,2020-21,PRATS DE LLUÇANÈS,BARCELONA,700,150,150,148,125,50,17,89,40,9,7,23,4,70,14,-4.8,-7.9,2021-01-06,23.4,2020-11-02
0114X,2021-22,PRATS DE LLUÇANÈS,BARCELONA,700,151,151,150,128,68,21,90,58,7,2,18,2,59,24,-4.4,-6.1,2022-01-16,21.4,2022-02-18
0114X,2022-23,PRATS DE LLUÇANÈS,BARCELONA,700,150,150,149,128,57,26,90,46,34,13,15,12,54,20,-5.7,-7.5,2023-01-30,23.9,2023-03-30
0114X,2023-24,PRATS DE LLUÇANÈS,BARCELONA,700,152,152,152,128,62,9,91,45,26,16,22,11,64,11,-3.1,-6.5,2024-01-09,24.9,2024-03-22
0114X,2024-25,PRATS DE LLUÇANÈS,BARCELONA,700,151,151,149,119,51,12,90,49,10,4,33,3,120,10,-3.4,-7.3,2025-01-14,24.5,2025-03-31
0114X,2025-26,PRATS DE LLUÇANÈS,BARCELONA,700,151,151,150,123,47,7,90,31,12,3,37,5,100,11,-3.0,-6.5,2026-01-07,20.5,2026-03-17
0120X,2017-18,MOIÀ,BARCELONA,742,151,151,150,126,43,8,90,33,3,0,23,1,108,8,-3.0,-4.8,2018-02-08,19.0,2018-03-10
0120X,2018-19,MOIÀ,BARCELONA,742,150,150,147,110,22,2,89,22,17,6,17,5,60,5,-1.9,-5.2,2019-01-11,22.4,2019-02-27
0120X,2019-20,MOIÀ,BARCELONA,742,152,152,151,106,16,0,91,6,6,3,24,2,92,3,-0.4,-1.7,2020-01-01,23.8,2020-03-12
