idema,nombre,provincia,altitud,lat,lon,noches,h20_mediana,h20_peor,h20_mejor,h18_mediana,h18_peor,noches_sin_alivio,cruce_20_tipico,nunca_cruza
1351,ESTACA DE BARES,A CORUÑA,90,43.78611111111111,-7.6850000000000005,23,9,2,9,3,0,0,23,0
1468X,A ESTRADA,PONTEVEDRA,269,42.69361111111111,-8.501944444444444,23,9,2,9,8,0,0,23,0
1679A,MONFORTE DE LEMOS,LUGO,291,42.531666666666666,-7.510833333333333,23,9,2,9,8,0,0,23,0
1706A,ALLARIZ,OURENSE,492,42.18277777777777,-7.796111111111111,22,9.0,2,9,8.0,0,0,23,0
2030,SORIA,SORIA,1081,41.775,-2.4830555555555556,23,9,2,9,7,0,0,23,0
2331,BURGOS AEROPUERTO,BURGOS,891,42.356944444444444,-3.620277777777778,23,9,2,9,9,0,0,23,0
2401X,PALENCIA,PALENCIA,736,42.00944444444445,-4.560555555555555,23,9,2,9,8,0,0,23,0
2978X,VERÍN,OURENSE,380,41.92666666666666,-7.421944444444445,23,9,2,9,7,0,0,23,0
6248D,"CAÑAR, PARQUE NACIONAL SIERRA NEVADA",GRANADA,1732,36.952222222222225,-3.4302777777777775,23,9,2,9,9,0,0,23,0
8309X,UTIEL,VALENCIA,758,39.57555555555556,-1.2447222222222223,23,9,2,9,8,0,0,23,0
9012E,SANTA GADEA DE ALFOZ,BURGOS,915,42.95138888888889,-3.957222222222222,23,9,2,9,9,0,0,23,0
9051,MEDINA DE POMAR,BURGOS,580,42.919999999999995,-3.4827777777777778,23,9,2,9,9,0,0,23,0
9060X,LALASTRA,ARABA/ALAVA,910,42.875277777777775,-3.231666666666667,21,9,2,9,9,0,0,23,0
9178X,CAMPEZO/KANPEZU,ARABA/ALAVA,570,42.67055555555555,-2.3461111111111115,23,9,2,9,8,0,0,23,0
9188,ENCISO,LA RIOJA,855,42.14944444444444,-2.2733333333333334,22,9.0,2,9,9.0,0,0,23,0
9228J,OROZ-BETELU/OROTZ-BETELU,NAVARRA,635,42.89611111111111,-1.3002777777777779,23,9,2,9,8,0,0,23,0
9238X,NAVASCUÉS/NABASKOZE,NAVARRA,612,42.7175,-1.1172222222222223,23,9,2,9,9,1,0,23,0
9257X,"ESTERIBAR, EMBALSE DE EUGI",NAVARRA,615,42.970555555555556,-1.5169444444444444,23,9,2,9,9,0,0,23,0
9381I,CALAMOCHA,TERUEL,884,40.92611111111111,-1.2933333333333332,23,9,2,9,8,1,0,23,0
9995Y,VALCARLOS/LUZAIDE,NAVARRA,334,43.09111111111111,-1.3008333333333333,23,9,2,9,9,0,0,23,0
9091R,VITORIA-GASTEIZ AEROPUERTO,ARABA/ALAVA,513,42.871944444444445,-2.7327777777777778,19,9,2,9,9,0,0,23,0
1025A,SEGURA,GIPUZKOA,255,43.01555555555556,-2.256666666666667,23,9,1,9,8,0,0,23,0
1025X,"BEASAIN, ARRIARAN",GIPUZKOA,255,43.05472222222222,-2.2319444444444447,23,9,1,9,9,0,0,23,0
1387,A CORUÑA,A CORUÑA,57,43.365833333333335,-8.421388888888888,23,9,1,9,4,0,0,23,0
1442U,BOIRO,A CORUÑA,10,42.64388888888889,-8.892222222222221,23,9,1,9,6,0,0,23,0
1631E,A POBRA DE TRIVES,OURENSE,840,42.339444444444446,-7.2825,23,9,1,9,9,0,0,23,0
1723X,"PONTEAREAS, CANEDO",PONTEVEDRA,90,42.18222222222222,-8.492777777777777,23,9,1,9,7,0,0,23,0
2096B,LICERAS,SORIA,1150,41.37361111111111,-3.251388888888889,23,9,1,9,8,0,0,23,0
2362C,"VELILLA DEL RÍO CARRIÓN, CAMPORREDONDO DE ALBA",PALENCIA,1575,42.89388888888889,-4.713611111111112,23,9,1,9,9,0,0,23,0
2462,PUERTO DE NAVACERRADA,MADRID,1892,40.79333333333333,-4.010833333333333,23,9,1,9,9,0,0,23,0
2536D,MORALES DEL TORO,ZAMORA,710,41.54833333333333,-5.271388888888889,23,9,1,9,7,0,0,23,0
2661,"LEÓN, VIRGEN DEL CAMINO",LEON,916,42.58833333333334,-5.651111111111112,21,9,1,9,8,0,0,23,0
2734D,ASTORGA,LEON,919,42.47666666666667,-6.0744444444444445,19,9,1,9,8,0,0,23,0
2737E,LAGUNAS DE SOMOZA,LEON,1020,42.3775,-6.196666666666667,23,9,1,9,9,0,0,23,0
2926B,BAÑOBÁREZ,SALAMANCA,748,40.85138888888889,-6.608888888888888,22,9.0,1,9,7.0,0,0,23,0
3494U,NUÑOMORAL,CACERES,470,40.408055555555556,-6.239722222222222,22,9.0,1,9,8.0,0,0,23,0
4096Y,MUNERA,ALBACETE,918,39.016666666666666,-2.488888888888889,21,9,1,9,9,0,0,23,0
6258X,LANJARÓN,GRANADA,708,36.92305555555555,-3.4925,23,9,1,9,8,0,0,23,0
8337X,TURÍS,VALENCIA,186,39.39222222222222,-0.6247222222222223,23,9,1,9,6,0,0,23,0
9001S,ALTO CAMPOO,CANTABRIA,1650,43.03666666666666,-4.374444444444444,21,9,1,9,9,0,0,23,0
9445L,"FORMIGAL, SARRIOS",HUESCA,1800,42.7625,-0.3927777777777778,23,9,1,9,9,0,0,23,0
9460X,SABIÑÁNIGO,HUESCA,775,42.51277777777778,-0.3555555555555555,21,9,1,9,8,0,0,23,0
9918Y,"TAMARITE DE LITERA, LA MELUSA",HUESCA,218,41.780833333333334,0.3769444444444444,19,9,1,9,6,0,0,23,0
9935X,VALDERROBRES,TERUEL,483,40.873333333333335,0.1463888888888889,23,9,1,9,8,0,0,23,0
B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,842,39.79277777777778,2.7877777777777775,23,9,1,9,9,0,0,23,0
C656V,TEROR,LAS PALMAS,683,28.075277777777778,-15.547222222222222,21,9,1,9,5,0,0,23,0
0061X,PONTONS,BARCELONA,632,41.41694444444444,1.5191666666666666,22,9.0,0,9,8.0,0,3,23,3
0120X,MOIÀ,BARCELONA,742,41.81333333333333,2.095277777777778,20,9.0,0,9,7.5,0,4,23,4
0260X,FOGARS DE MONTCLÚS,BARCELONA,936,41.76,2.431111111111111,23,9,0,9,6,0,5,23,5
0363X,SANT HILARI,GIRONA,810,41.880833333333335,2.513333333333333,23,9,0,9,9,0,1,23,1
0372C,PORQUERES,GIRONA,157,42.10444444444445,2.763611111111111,23,9,0,9,6,0,3,23,3
1010X,BERA,NAVARRA,54,43.27861111111111,-1.6758333333333333,18,9.0,0,9,9.0,0,1,23,1
1012P,IRUN,GIPUZKOA,120,43.32638888888889,-1.7966666666666666,23,9,0,9,5,0,3,23,3
1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,4,43.356944444444444,-1.7922222222222222,21,9,0,9,5,0,4,23,4
1021X,"ERRENTERIA, AÑARBE",GIPUZKOA,165,43.21388888888889,-1.8788888888888888,22,9.0,0,9,9.0,0,1,23,1
1026X,ORDIZIA,GIPUZKOA,290,43.058055555555555,-2.1841666666666666,22,9.0,0,9,7.0,0,1,23,1
1033X,ARESO,NAVARRA,520,43.085,-1.9508333333333332,22,9.0,0,9,9.0,0,1,23,1
1037X,LEGAZPI,GIPUZKOA,460,43.05166666666666,-2.3372222222222225,23,9,0,9,9,0,1,23,1
1037Y,ZUMARRAGA,GIPUZKOA,431,43.080000000000005,-2.3175,23,9,0,9,9,0,1,23,1
1038X,AZPEITIA,GIPUZKOA,180,43.1725,-2.2672222222222222,23,9,0,9,9,0,1,23,1
1041A,ZUMAIA,GIPUZKOA,28,43.30222222222222,-2.2511111111111113,23,9,0,9,7,0,3,23,3
1044X,"ARAMAIO, ETXAGUEN",ARABA/ALAVA,617,43.05777777777777,-2.5897222222222225,23,9,0,9,9,0,2,23,2
1049N,ELGETA,GIPUZKOA,470,43.138333333333335,-2.4958333333333336,22,9.0,0,9,9.0,0,1,23,1
1050J,ELGOIBAR,GIPUZKOA,119,43.20916666666667,-2.413333333333333,23,9,0,9,9,0,1,23,1
1052A,MUTRIKU,GIPUZKOA,150,43.31722222222223,-2.397222222222222,23,9,0,9,1,0,2,23,2
1056K,FORUA,BIZKAIA,45,43.3425,-2.6711111111111108,23,9,0,9,9,0,1,23,1
1059X,PUNTA GALEA,BIZKAIA,81,43.375,-3.0216666666666665,23,9,0,9,6,0,3,23,3
1060X,AMURRIO,ARABA/ALAVA,240,43.05027777777777,-3.0055555555555555,20,9.0,0,9,8.5,0,2,23,2
1069Y,"ABADIÑO, URKIOLA",BIZKAIA,747,43.09916666666667,-2.6441666666666666,23,9,0,9,9,0,1,23,1
1074C,AMOREBIETA-ETXANO,BIZKAIA,100,43.20277777777778,-2.7061111111111114,23,9,0,9,9,0,1,23,1
1078C,BALMASEDA,BIZKAIA,210,43.18055555555555,-3.2097222222222226,16,9.0,0,9,9.0,0,1,23,1
1078I,GÜEÑES,BIZKAIA,208,43.20333333333333,-3.104722222222222,23,9,0,9,9,0,1,23,1
1082,BILBAO AEROPUERTO,BIZKAIA,42,43.29805555555556,-2.906388888888889,21,9,0,9,8,0,2,23,2
1083L,CASTRO URDIALES,CANTABRIA,45,43.39472222222222,-3.233888888888889,23,9,0,9,5,0,2,23,2
1089U,RAMALES DE LA VICTORIA,CANTABRIA,80,43.255833333333335,-3.4708333333333337,15,9,0,9,9,0,1,23,1
1096X,"BARCENA DE CICERO, TRETO",CANTABRIA,10,43.39666666666667,-3.4697222222222224,19,9,0,9,9,0,1,23,1
1103X,SAN ROQUE DE RIOMIERA,CANTABRIA,849,43.2275,-3.721111111111111,20,9.0,0,9,9.0,0,2,23,2
1109X,SANTANDER AEROPUERTO,CANTABRIA,3,43.42861111111111,-3.8313888888888887,20,9.0,0,9,8.0,0,2,23,2
1111X,SANTANDER,CANTABRIA,51,43.49111111111111,-3.8005555555555555,23,9,0,9,4,0,3,23,3
1124E,VILLACARRIEDO,CANTABRIA,196,43.245555555555555,-3.8494444444444444,18,9.0,0,9,9.0,0,1,23,1
1154H,"TORRELAVEGA, SIERRAPANDO",CANTABRIA,110,43.35861111111111,-4.0275,23,9,0,9,8,0,2,23,2
1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,38,43.39333333333333,-4.392222222222222,23,9,0,9,7,0,3,23,3
1176A,TRESVISO,CANTABRIA,940,43.255833333333335,-4.668333333333334,23,9,0,9,9,0,4,23,4
1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",ASTURIAS,1236,43.237500000000004,-4.736666666666666,23,9,0,9,9,0,2,23,2
1179B,CABRALES,ASTURIAS,458,43.31111111111111,-4.852777777777778,22,9.0,0,9,9.0,0,2,23,2
1183X,LLANES,ASTURIAS,10,43.42027777777778,-4.748055555555555,14,9.0,0,9,6.0,0,2,23,2
